Name:     Description:
bjtwin    "Bombjack Twin"
aztarac   "Aztarac"
pinbo     "Pinbo"
nam1975   "NAM-1975"
bstars    "Baseball Stars Professional"
tpgolf    "Top Player's Golf"
mahretsu  "Mahjong Kyoretsuden"
maglord   "Magician Lord"
ridhero   "Riding Hero"
alpham2   "Alpha Mission II / ASO II - Last Guardian"
ncombat   "Ninja Combat"
cyberlip  "Cyber-Lip"
superspy  "Super Spy, The"
mutnat    "Mutation Nation"
kotm      "King of the Monsters"
sengoku   "Sengoku / Sengoku Denshou"
burningf  "Burning Fight"
lbowling  "League Bowling"
gpilots   "Ghost Pilots"
joyjoy    "Puzzled / Joy Joy Kid"
bjourney  "Blue's Journey / Raguy"
quizdais  "Quiz Daisousa Sen - The Last Count Down"
lresort   "Last Resort"
eightman  "Eight Man"
minasan   "Minnasanno Okagesamadesu"
legendos  "Legend of Success Joe / Ashitano Joe Densetsu"
2020bb    "2020 Super Baseball"
socbrawl  "Soccer Brawl"
roboarmy  "Robo Army"
fatfury1  "Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai"
fbfrenzy  "Football Frenzy"
bakatono  "Bakatonosama Mahjong Manyuki"
crsword   "Crossed Swords"
trally    "Thrash Rally"
kotm2     "King of the Monsters 2 - The Next Thing"
sengoku2  "Sengoku 2 / Sengoku Denshou 2"
bstars2   "Baseball Stars 2"
quizdai2  "Quiz Meintantei Neo Geo - Quiz Daisousa Sen Part 2"
3countb   "3 Count Bout / Fire Suplex"
aof       "Art of Fighting / Ryuuko no Ken"
samsho    "Samurai Shodown / Samurai Spirits"
tophuntr  "Top Hunter - Roddy & Cathy"
fatfury2  "Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai"
janshin   "Jyanshin Densetsu - Quest of Jongmaster"
androdun  "Andro Dunos"
ncommand  "Ninja Commando"
viewpoin  "Viewpoint"
ssideki   "Super Sidekicks / Tokuten Ou"
wh1       "World Heroes"
kof94     "King of Fighters '94, The"
aof2      "Art of Fighting 2 / Ryuuko no Ken 2"
wh2       "World Heroes 2"
fatfursp  "Fatal Fury Special / Garou Densetsu Special"
savagere  "Savage Reign / Fu'un Mokushiroku - kakutou sousei"
fightfev  "Fight Fever / Crystal Legacy"
ssideki2  "Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football"
spinmast  "Spinmaster / Miracle Adventure"
samsho2   "Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen"
wh2j      "World Heroes 2 Jet"
wjammers  "Windjammers / Flying Power Disc"
karnovr   "Karnov's Revenge / Fighter's History Dynamite"
gururin   "Gururin"
pspikes2  "Power Spikes II"
fatfury3  "Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai"
panicbom  "Panic Bomber"
aodk      "Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku"
sonicwi2  "Aero Fighters 2 / Sonic Wings 2"
zedblade  "Zed Blade / Operation Ragnarok"
galaxyfg  "Galaxy Fight - Universal Warriors"
strhoop   "Street Hoop / Street Slam / Dunk Dream"
quizkof   "Quiz King of Fighters"
ssideki3  "Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - eikoue no michi"
doubledr  "Double Dragon"
pbobble   "Puzzle Bobble / Bust-A-Move"
kof95     "King of Fighters '95, The"
tws96     "Tecmo World Soccer '96"
samsho3   "Samurai Shodown III / Samurai Spirits - Zankurou Musouken"
stakwin   "Stakes Winner / Stakes Winner - GI kinzen seihae no michi"
pulstar   "Pulstar"
whp       "World Heroes Perfect"
kabukikl  "Kabuki Klash - Far East of Eden / Tengai Makyou Shinden - Far East of Eden"
neobombe  "Neo Bomberman"
gowcaizr  "Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer"
rbff1     "Real Bout Fatal Fury / Real Bout Garou Densetsu"
aof3      "Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden"
sonicwi3  "Aero Fighters 3 / Sonic Wings 3"
turfmast  "Neo Turf Masters / Big Tournament Golf"
mslug     "Metal Slug - Super Vehicle-001"
puzzledp  "Puzzle De Pon"
mosyougi  "Syougi No Tatsujin - Master of Syougi"
marukodq  "Chibi Marukochan Deluxe Quiz"
neomrdo   "Neo Mr. Do!"
sdodgeb   "Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu"
goalx3    "Goal! Goal! Goal!"
overtop   "Over Top"
neodrift  "Neo Drift Out - New Technology"
kof96     "King of Fighters '96, The"
ssideki4  "Ultimate 11 / Tokuten Ou - Honoo no Libero, The"
kizuna    "Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle"
ninjamas  "Ninja Master's - haoh-ninpo-cho"
ragnagrd  "Operation Ragnagard / Shin-Oh-Ken"
pgoal     "Pleasure Goal / Futsal - 5 on 5 Mini Soccer"
magdrop2  "Magical Drop II"
samsho4   "Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin"
rbffspec  "Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special"
twinspri  "Twinkle Star Sprites"
wakuwak7  "Waku Waku 7"
stakwin2  "Stakes Winner 2"
breakers  "Breakers"
miexchng  "Money Puzzle Exchanger / Money Idol Exchanger"
kof97     "King of Fighters '97, The"
magdrop3  "Magical Drop III"
lastblad  "Last Blade / Bakumatsu Roman - Gekkano Kenshi, The"
irrmaze   "Irritating Maze / Ultra Denryu Iraira Bou, The"
popbounc  "Pop 'n Bounce / Gapporin"
shocktro  "Shock Troopers"
blazstar  "Blazing Star"
rbff2     "Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers"
mslug2    "Metal Slug 2 - Super Vehicle-001/II"
kof98     "King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends, The"
lastbld2  "Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekkano Kenshi, The"
neocup98  "Neo-Geo Cup '98 - The Road to the Victory"
shocktr2  "Shock Troopers - 2nd Squad"
flipshot  "Battle Flip Shot"
